ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2328318,LG,WM3090C*,,772454071218,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,10/31/2018,10/23/2018,"United States, Canada",ES_1118034_WM3090C*_10242018042448_70202975,No
2320406,LG,WM3095C*,,772454070709,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WM3095C*_05242018111228_70184257,No
2310476,LG,WM3180C*,,048231024013;772454069147,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,90,3.2,4.7,4220,,,,,,,,,No,,,,No,,04/17/2017,02/08/2018,"United States, Canada",ES_1118034_WM3180C*_02092018060252_70172585,No
2310498,LG,WM3270C*,,772454067884;893524450143,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,90,3.2,4.7,4220,,,,,,,,,No,,,,No,,07/29/2016,02/09/2018,"United States, Canada",ES_1118034_WM3270C*_02092018060252_70172585,No
2310499,LG,WM3275C*,,772454067877,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,90,3.2,4.7,4220,,,,,,,,,No,,,,No,,07/29/2016,02/09/2018,"United States, Canada",ES_1118034_WM3275C*_02092018060252_70172585,No
2350799,LG,WM3400C*,,048231027922;772454074202,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,12/04/2019,12/03/2019,"United States, Canada",ES_1118034_WM3400C*_12042019020720_80026951,No
2788581,Samsung,WH46DBH1**G*,,887276814513,Front Load,Laundry Center,"Steam Cycle,Gentle Cycle,Delicates",Residential,4.6,74.40,27.0,31.30,3.1,1.84,94,2.9,4.7,3893,,,,,,,,,No,,,,No,,12/30/2023,11/21/2023,"United States, Canada",ES_1023593_WH46DBH1**G*_11302023131923_80190737,No
2788551,Samsung,WH46DBH50*E*,,887276814520,Front Load,Laundry Center,"Steam Cycle,Gentle Cycle,Delicates",Residential,4.6,74.40,27.0,31.30,3.1,1.84,95,2.9,4.7,3893,,,,,,,,,No,,,,No,,12/30/2023,11/21/2023,"United States, Canada",ES_1023593_WH46DBH50*E*_11302023131213_80190736,No
2788550,Samsung,WH46DBH55*E*,,887276814544,Front Load,Laundry Center,"Steam Cycle,Gentle Cycle,Delicates",Residential,4.6,74.40,27.0,31.30,3.1,1.84,95,2.9,4.7,3893,,,,,,,,,No,,,,No,,12/30/2023,11/21/2023,"United States, Canada",ES_1023593_WH46DBH55*E*_11302023131213_80190736,No
2788549,Samsung,WH46DBH5**G*,,887276814537,Front Load,Laundry Center,"Steam Cycle,Gentle Cycle,Delicates",Residential,4.6,74.40,27.0,31.30,3.1,1.84,95,2.9,4.7,3893,,,,,,,,,No,,,,No,,12/30/2023,11/21/2023,"United States, Canada",ES_1023593_WH46DBH5**G*_11302023131213_80190736,No
2788506,Samsung,WH53DBH7**E*,,887276814575,Front Load,Laundry Center,"Steam Cycle,Gentle Cycle,Delicates",Residential,5.3,74.40,27.0,34.40,3.1,1.84,103,2.9,4.7,4491,,,,,,,,,No,,,,No,,12/30/2023,11/21/2023,"United States, Canada",ES_1023593_WH53DBH7**E*_11302023130241_80190735,No
2788507,Samsung,WH53DBH7**G*,,887276814582,Front Load,Laundry Center,"Steam Cycle,Gentle Cycle,Delicates",Residential,5.3,74.40,27.0,34.40,3.1,1.84,103,2.9,4.7,4491,,,,,,,,,No,,,,No,,12/30/2023,11/21/2023,"United States, Canada",ES_1023593_WH53DBH7**G*_11302023130241_80190735,No
2300867,Samsung,WV55M96**A***,,887276196923,Front Load,,"Steam Cycle,Delayed Start,Hand Wash Cycle,Anti-Wrinkle,Supplementary Wash System,Sanitize Option",Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3850,,,,,,,,,No,,,,No,,01/23/2017,05/26/2017,"United States, Canada",ES_1023593_WV55M96**A***_07192017085024_70137562,No
2378347,Samsung,WV60A99**A*,,887276557885,Front Load,,Delicate,Residential,5,,27.0,,2.92,1.84,110,2.9,4.7,4235,,,,,,,,,No,,,,Yes,ES_1023593_DVE60A99***_05142021031426_80078534,05/22/2021,05/11/2021,"United States, Canada",ES_1023593_WV60A99**A*_05232021020358_80078533_,No
2300868,Samsung,WV60M99**A***,,887276196954,Front Load,,"Anti-Wrinkle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle,Supplementary Wash System",Residential,5,,27.0,,2.92,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,No,,01/23/2017,05/26/2017,"United States, Canada",ES_1023593_WV60M99**A***_07192017085024_70137562,No
2310452,Samsung,WW22K680*A*,,887276126876,Front Load,,"Steam, Super Speed, Smart Care",Residential,2.2,,24.0,,2.25,1.84,90,4,4.7,2596,,,,,,,,,No,,,,No,,12/20/2015,11/30/2015,"United States, Canada",ES_1023593_WW22K680*A*_02092018060252_70172127,No
2394988,Samsung,WW25B68**A*,,887276650302,Front Load,,"Steam Cycle,Gentle Cycle",Residential,2.5,33.50,23.6,26.80,2.25,1.84,90,3.7,4.7,2718,,,,,,,,,No,,,,Yes,ES_1023593_DV25B68**H*_05242022082615_80127881,06/02/2022,04/20/2022,"United States, Canada",ES_1023593_WW25B68**A*_04212022093455_80123569,Yes
2394989,Samsung,WW25B69**A*,,887276650319,Front Load,,"Steam Cycle,Gentle Cycle",Residential,2.5,33.50,23.6,26.80,2.25,1.84,90,3.7,4.7,2718,,,,,,,,,No,,,,Yes,ES_1023593_DV25B69**H*_07222022082624_80135522,06/02/2022,04/20/2022,"United States, Canada",ES_1023593_WW25B69**A*_04212022093455_80123569,Yes
